modelo,precision,recall,mAP50,mAP50_95,conf,MAE,RMSE,MAPE,R2,acc_conteo,bias,pred_total,real_total,agg_err,agg_pct,weights
YOLOv11n_general,0.7741,0.8132,0.8254,0.4834,0.35,12.96,26.81,12.54,0.9363,87.46,-2.96,2550,2618,68,2.6,runs/detect/general_v11n_1280/weights/best.pt
YOLOv11s_general,0.7705,0.8205,0.8332,0.4976,0.35,16.0,34.95,14.26,0.8917,85.74,-7.83,2438,2618,180,6.88,runs/detect/general_v11s_1280/weights/best.pt
YOLOv8n_general,0.7775,0.796,0.817,0.4776,0.4,13.3,32.45,12.09,0.9066,87.91,-8.0,2434,2618,184,7.03,runs/detect/general_v8n_1280/weights/best.pt
