modelo,precision,recall,mAP50,mAP50_95,conf,MAE,RMSE,MAPE,R2,acc_conteo,bias,pred_total,real_total,agg_err,agg_pct,weights
YOLOv8n,0.7949,0.7979,0.8201,0.4719,0.3,17.17,21.08,7.77,0.9431,92.23,-1.5,1114,1123,9,0.8,runs/detect/alevines_baseline_612/weights/best.pt
YOLOv8s,0.7971,0.8442,0.8426,0.491,0.5,19.33,25.82,8.54,0.9147,91.46,19.0,1237,1123,114,10.15,runs/detect/alevines_v8s/weights/best.pt
YOLOv11n,0.7744,0.7996,0.7906,0.4522,0.35,6.0,8.52,2.69,0.9907,97.31,-4.0,1099,1123,24,2.14,runs/detect/alevines_v11n/weights/best.pt
YOLOv11n_hires,0.807,0.8415,0.8364,0.4905,0.45,12.83,15.27,5.89,0.9702,94.11,-2.5,1108,1123,15,1.34,runs/detect/alevines_v11n_hires/weights/best.pt
